id,card_id,user_id,card_number,exp_month,exp_year,customer_id,email,address_city,address_country,address_state,address_zip,name_on_card,DBSCAN,IsolationForest,Autoencoder,Autoencoder_Error
2897,fc407652-4d72-499f-8000-1df000e922ab,6766,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,USA,California,76319,Michael Williams,1,1,1,1.1988934227228427
2897,fc407652-4d72-499f-8000-1df000e922ab,9794,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,USA,California,76319,Michael Williams,1,1,1,1.1988934227228427
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,9844,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,USA,Texas,58859,James Garcia,1,1,1,1.5245600044338818
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,8210,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,USA,Texas,58859,James Garcia,1,1,1,1.5245600044338818
2990,87c35bc0-2a6f-4858-a64c-bae01227ed9b,9891,1901586869851875,4,2023,f6770ef2-819d-44aa-b03e-1ac21ec5c1a4,michael7111@example.com,Chicago,USA,Texas,72830,Michael Garcia,1,1,1,1.6519565431939356
2990,87c35bc0-2a6f-4858-a64c-bae01227ed9b,6131,1901586869851875,4,2023,f6770ef2-819d-44aa-b03e-1ac21ec5c1a4,michael7111@example.com,Chicago,USA,Texas,72830,Michael Garcia,1,1,1,1.6519565431939356
3026,dcdc1ff8-f747-425c-bd21-b18c2b874b07,8277,1101593259830435,2,2030,e2bc5efd-a825-46b9-9fb4-bd8b8b594458,mary8860@example.com,Houston,USA,California,69712,Mary Garcia,1,1,1,1.1964157725098499
3026,dcdc1ff8-f747-425c-bd21-b18c2b874b07,2632,1101593259830435,2,2030,e2bc5efd-a825-46b9-9fb4-bd8b8b594458,mary8860@example.com,Houston,USA,California,69712,Mary Garcia,1,1,1,1.1964157725098499
3047,fa3c0fc3-c859-406a-acaf-8cee7b49be25,9769,7151655702906000,10,2025,ae1af41a-c4ba-453b-887d-ab1c244eefc0,linda8456@example.com,Chicago,USA,Texas,58076,Linda Garcia,0,1,1,1.5282038513845635
3047,fa3c0fc3-c859-406a-acaf-8cee7b49be25,5847,7151655702906000,10,2025,ae1af41a-c4ba-453b-887d-ab1c244eefc0,linda8456@example.com,Chicago,USA,Texas,58076,Linda Garcia,0,1,1,1.5282038513845635
3097,c5e24025-f586-4932-b78c-e72be68922c3,1467,9408644247232081,11,2026,bf869ca8-ea4d-491f-9240-4c70dc009092,john6838@example.com,Phoenix,USA,Texas,82364,John Brown,0,1,1,1.5493712223235085
3097,c5e24025-f586-4932-b78c-e72be68922c3,3802,9408644247232081,11,2026,bf869ca8-ea4d-491f-9240-4c70dc009092,john6838@example.com,Phoenix,USA,Texas,82364,John Brown,0,1,1,1.5493712223235085
3489,a4f66000-28d4-4e6f-8b8f-6392eb601812,5867,1948967371372297,2,2026,4dd661a8-0834-4c27-b1c8-8622dbe7e753,michael7995@example.com,Houston,USA,Texas,67038,Michael Rodriguez,1,1,1,1.5417748329212768
3489,a4f66000-28d4-4e6f-8b8f-6392eb601812,1000,1948967371372297,2,2026,4dd661a8-0834-4c27-b1c8-8622dbe7e753,michael7995@example.com,Houston,USA,Texas,67038,Michael Rodriguez,1,1,1,1.5417748329212768
3506,334070d0-5dbe-4215-a3d3-46daba5e638b,6473,7857134303680051,2,2029,509f7035-f05e-42ec-85a4-5febcd9bbe6c,william3884@example.com,Los Angeles,USA,Texas,89657,William Smith,1,1,1,1.6420627044692804
3506,334070d0-5dbe-4215-a3d3-46daba5e638b,8786,7857134303680051,2,2029,509f7035-f05e-42ec-85a4-5febcd9bbe6c,william3884@example.com,Los Angeles,USA,Texas,89657,William Smith,1,1,1,1.6420627044692804
3604,ffc19838-29b2-41db-afb4-6ac0c207dd28,3714,1679615126200893,12,2023,59c39234-5935-48b7-90fe-14913a5e5096,jennifer3847@example.com,Chicago,USA,Illinois,18490,Jennifer Miller,1,1,1,1.2806659483789586
3604,ffc19838-29b2-41db-afb4-6ac0c207dd28,4222,1679615126200893,12,2023,59c39234-5935-48b7-90fe-14913a5e5096,jennifer3847@example.com,Chicago,USA,Illinois,18490,Jennifer Miller,1,1,1,1.2806659483789586
3667,55277ccf-5bee-43ae-81cd-e15a081a000b,2524,9297555539294100,11,2025,7314b3c8-ee4f-4e1c-a562-1087b7519101,james1688@example.com,Los Angeles,USA,Texas,79359,James Davis,0,1,1,1.583522195532221
3667,55277ccf-5bee-43ae-81cd-e15a081a000b,6235,9297555539294100,11,2025,7314b3c8-ee4f-4e1c-a562-1087b7519101,james1688@example.com,Los Angeles,USA,Texas,79359,James Davis,0,1,1,1.583522195532221
3669,b8176dc7-c969-4193-bc27-26950c7e80b4,5317,2353525037857382,4,2030,d6bb9207-59ed-4c7b-8fe6-6f67ff928149,william3696@example.com,Los Angeles,USA,Texas,91030,William Brown,1,1,1,1.6494304994112872
3669,b8176dc7-c969-4193-bc27-26950c7e80b4,5179,2353525037857382,4,2030,d6bb9207-59ed-4c7b-8fe6-6f67ff928149,william3696@example.com,Los Angeles,USA,Texas,91030,William Brown,1,1,1,1.6494304994112872
