id,card_id,user_id,card_number,exp_month,exp_year,customer_id,email,address_city,address_country,address_state,address_zip,name_on_card,DBSCAN,IsolationForest,Autoencoder,Autoencoder_Error
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,8267,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,USA,California,16958,Robert Davis,1,1,0,1.0964526918349387
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,9498,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,USA,California,16958,Robert Davis,1,1,0,1.0964526918349387
2897,fc407652-4d72-499f-8000-1df000e922ab,6766,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,USA,California,76319,Michael Williams,1,1,1,1.1988934227228427
2897,fc407652-4d72-499f-8000-1df000e922ab,9794,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,USA,California,76319,Michael Williams,1,1,1,1.1988934227228427
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,9844,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,USA,Texas,58859,James Garcia,1,1,1,1.5245600044338818
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,8210,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,USA,Texas,58859,James Garcia,1,1,1,1.5245600044338818
2990,87c35bc0-2a6f-4858-a64c-bae01227ed9b,9891,1901586869851875,4,2023,f6770ef2-819d-44aa-b03e-1ac21ec5c1a4,michael7111@example.com,Chicago,USA,Texas,72830,Michael Garcia,1,1,1,1.6519565431939356
2990,87c35bc0-2a6f-4858-a64c-bae01227ed9b,6131,1901586869851875,4,2023,f6770ef2-819d-44aa-b03e-1ac21ec5c1a4,michael7111@example.com,Chicago,USA,Texas,72830,Michael Garcia,1,1,1,1.6519565431939356
3026,dcdc1ff8-f747-425c-bd21-b18c2b874b07,8277,1101593259830435,2,2030,e2bc5efd-a825-46b9-9fb4-bd8b8b594458,mary8860@example.com,Houston,USA,California,69712,Mary Garcia,1,1,1,1.1964157725098499
3026,dcdc1ff8-f747-425c-bd21-b18c2b874b07,2632,1101593259830435,2,2030,e2bc5efd-a825-46b9-9fb4-bd8b8b594458,mary8860@example.com,Houston,USA,California,69712,Mary Garcia,1,1,1,1.1964157725098499
